WARNING: 1 open meshes merged
     Merged: Main_Wing
...Mass Properties...
45 Num Comps
38 Total Num Meshes
70608 Total Num Tris

1.135891057322639e+03             Total Mass
2.659475224265967e+01 -1.594777251920169e-05 -4.384094526893802e-02       Center of Gravity
2.117280115161348e+04 8.631919491773444e+04 1.057309812222076e+05       Ixx, Iyy, Izz
-4.115939108620534e-01 2.468335188106527e+02 3.308481041248168e-01       Ixy, Ixz, Iyz
1.023495560824521e+03             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
5.612962500000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	8.927415189669676e+01
5.862427500000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.315563676818635e+01
6.111892500000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.703712163967593e+01
6.361357500000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.009186065111655e+02
6.610822500000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.048000913826551e+02
6.860287500000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.086815762541447e+02
7.109752500000000e+00	5.964315146680797e+00	7.109752499999931e+00	-3.083377856036578e-16	-1.999999999999995e-01	1.647546609260027e+00	5.778814143006530e-01	1.224321840585172e+00	-4.675052185210003e-03	-7.454612785305681e-04	3.799389724159850e-03	1.125630611256343e+02
7.359217500000000e+00	1.192863029336159e+01	7.234484999999975e+00	-3.543239613571570e-16	-1.999999999999995e-01	3.295121828836016e+00	1.341332424501559e+00	2.634278645088194e+00	-9.288406845599857e-03	-1.503395046114427e-03	7.521747675446647e-03	1.164445459971239e+02
7.608682500000000e+00	1.789294544004240e+01	7.359217499999956e+00	-3.390164439480220e-16	-1.999999999999993e-01	4.942733655084068e+00	2.476010726394020e+00	4.415396663575467e+00	-1.408864774239437e-02	-2.239953519228763e-03	1.148059061700048e-02	1.203260308686135e+02
7.858147500000000e+00	2.385726058672320e+01	7.483949999999966e+00	-3.383430949635231e-16	-1.999999999999994e-01	6.590358305780832e+00	4.167426543524448e+00	6.753317839779418e+00	-1.879388016314739e-02	-2.986838404278894e-03	1.532248853550003e-02	1.242075157401030e+02
8.107612500000000e+00	2.982157573340400e+01	7.608682499999969e+00	-3.081560041005309e-16	-1.999999999999993e-01	8.237936720971945e+00	6.601174257892151e+00	9.833564681248212e+00	-2.341243502648212e-02	-3.737732213022894e-03	1.904565507631518e-02	1.280890006115926e+02
8.357077500000001e+00	3.578589088008479e+01	7.733414999999971e+00	-3.089785654021796e-16	-1.999999999999994e-01	9.885621394231812e+00	9.962902845351037e+00	1.384181665520421e+01	-2.818096220222282e-02	-4.476635347404555e-03	2.300332259603348e-02	1.319704854830821e+02
8.606542500000000e+00	4.175020602676559e+01	7.858147499999976e+00	-2.982592996945854e-16	-1.999999999999994e-01	1.153328272977340e+01	1.443814285290279e+01	1.896358956836061e+01	-3.290629688172259e-02	-5.223073461162589e-03	2.688454372105265e-02	1.358519701778855e+02
8.856007500000000e+00	4.771452117344639e+01	7.982879999999971e+00	-2.924648519775056e-16	-1.999999999999994e-01	1.318077580528106e+01	2.021248266989685e+01	2.538432605855386e+01	-3.757156172986729e-02	-5.970257875921193e-03	3.064684726441531e-02	1.397334550451789e+02
9.105472499999999e+00	5.367883632012718e+01	8.107612499999975e+00	-3.025328962704757e-16	-1.999999999999994e-01	1.482843595001165e+01	2.747156664969619e+01	3.328989305118061e+01	-4.239053736636759e-02	-6.707357225311535e-03	3.464701162313473e-02	1.436136337026178e+02
9.354937500000000e+00	5.964315146680798e+01	8.232344999999970e+00	-2.973536382772216e-16	-1.999999999999994e-01	1.647596575830078e+01	3.640093215826458e+01	4.286563172411395e+01	-4.717174725365043e-02	-7.444318032509971e-03	3.854091457880786e-02	1.474930475450320e+02
9.604402500000001e+00	6.560746661348878e+01	8.357077499999974e+00	-2.934333549063805e-16	-1.999999999999994e-01	1.812353307971603e+01	4.718614543396007e+01	5.429731963806523e+01	-5.182041892717311e-02	-8.194489068119688e-03	4.229917745589132e-02	1.513692470487874e+02
9.853867500000000e+00	7.157390727857177e+01	8.481850745763003e+00	-2.616998474980050e-05	-1.999713562572812e-01	1.977485164289771e+01	6.001881351388133e+01	6.777629706621713e+01	-5.896040154497088e-02	-6.144233564208052e-03	4.417947238703097e-02	1.552463191162917e+02
1.010333250000000e+01	7.753822242525256e+01	8.606576692326779e+00	-2.415696418331945e-05	-1.999735595617060e-01	2.142243985442619e+01	7.507188812170473e+01	8.347580252526319e+01	-6.350297156446645e-02	-7.138184246488860e-03	4.810103074986036e-02	1.591231303076120e+02
1.035279750000000e+01	7.753822242525256e+01	8.606576692326779e+00	-2.415696418331945e-05	-1.999735595617060e-01	2.142243985442619e+01	7.507188812170473e+01	8.347580252526319e+01	-6.350297156446645e-02	-7.138184246488860e-03	4.810103074986036e-02	1.630365989417323e+02
1.060226250000000e+01	7.753822242525256e+01	8.606576692326779e+00	-2.415696418331945e-05	-1.999735595617060e-01	2.142243985442619e+01	7.507188812170473e+01	8.347580252526319e+01	-6.350297156446645e-02	-7.138184246488860e-03	4.810103074986036e-02	1.669962270105439e+02
1.085172750000000e+01	7.753822242525256e+01	8.606576692326779e+00	-2.415696418331945e-05	-1.999735595617060e-01	2.142243985442619e+01	7.507188812170473e+01	8.347580252526319e+01	-6.350297156446645e-02	-7.138184246488860e-03	4.810103074986036e-02	1.710157829456936e+02
1.110119250000000e+01	7.756381489048377e+01	8.607399799962902e+00	-2.414900393683490e-05	-1.999562408888435e-01	2.142851848462313e+01	7.523153003618481e+01	8.364132711372747e+01	-6.349736048035633e-02	-3.788605943980456e-03	4.811463620742025e-02	1.751142408108426e+02
